source,keyword,title,price_raw,url,image,normalized_name
lazada,vi,"Kem dưỡng trắng, Chống lão hóa da EVI (15g)",109.000 ₫,https://www.lazada.vn/products/pdp-i555608245.html,https://img.lazcdn.com/g/p/c2778e5cdbe9766c7489f7fd423cccae.jpg_200x200q80.jpg,kem duong trang chong lao hoa da evi 15g
lazada,vi,"Vi kim tảo biển pell da lột mụn thâm nám, tàn nhang làm đều màu da hũ 250g",250.000 ₫,https://www.lazada.vn/products/pdp-i2721572576.html,https://img.lazcdn.com/g/ff/kf/Sb3ae859e07984b7a9e934cff4953dbbec.jpg_200x200q80.jpg,vi kim tao bien pell da lot mun tham nam tan nhang lam eu mau da hu 250g
lazada,vi,Vi Tảo PEEL DA cải thiện thâm sạm đốm nâu dưỡng da sáng mịn trắng đều màu,49.000 ₫,https://www.lazada.vn/products/pdp-i2655715684.html,https://img.lazcdn.com/g/p/7d5d3c338a29c27f70d6e8f51ab9a710.png_200x200q80.png,vi tao peel da cai thien tham sam om nau duong da sang min trang eu mau
lazada,vi,Vi tảo biển dưỡng da V-tox peel,730.000 ₫,https://www.lazada.vn/products/pdp-i2525774707.html,https://img.lazcdn.com/g/p/f6905021e2e7823b68ba9258bbea2606.jpg_200x200q80.jpg,vi tao bien duong da v tox peel
lazada,vi,Vi kim tảo biển trắng kim cương Gogreen NANO PEEL PLUS ( 1 cặp ),822.800 ₫,https://www.lazada.vn/products/pdp-i2047220711.html,https://img.lazcdn.com/g/p/db4a714f694a33a780f13200ec68240f.jpg_200x200q80.jpg,vi kim tao bien trang kim cuong gogreen nano peel plus 1 cap
lazada,vi,"Tinh chất trẻ hóa VI DERM Retinoic Serum 30ml - Chống lão hóa, hỗ trợ giảm mụn",2.320.000 ₫,https://www.lazada.vn/products/pdp-i3022736402.html,https://img.lazcdn.com/g/p/2ff672f76602759d0a6d2550d0bfaa61.png_200x200q80.png,tinh chat tre hoa vi derm retinoic serum 30ml chong lao hoa ho tro giam mun
lazada,vi,[Công Ty] Kem dưỡng chống lão hóa toàn diện VI Derm Retinol Age-Defying Treatment Moisturizer –  50ml,2.415.000 ₫,https://www.lazada.vn/products/pdp-i2601919105.html,https://img.lazcdn.com/g/p/2e7c8f8d85830d1dc5a0a3628445f6b0.jpg_200x200q80.jpg,cong ty kem duong chong lao hoa toan dien vi derm retinol age defying treatment moisturizer 50ml
lazada,vi,"Vi tảo thay da sinh học mờ nám, mụn, lỗ chân lông to Ronas Resting Peel ( 1 lọ 1.3g + dung dịch )",300.000 ₫,https://www.lazada.vn/products/pdp-i836136488.html,https://img.lazcdn.com/g/p/7bc9f942078c9ee6777a0cb336bbacfa.jpg_200x200q80.jpg,vi tao thay da sinh hoc mo nam mun lo chan long to ronas resting peel 1 lo 1 3g dung dich
lazada,vi,"Vi Derm Retinoic Serum - Tinh chất chống lão hóa, mờ nám và ngăn chặn sự hình thành mụn",2.900.000 ₫,https://www.lazada.vn/products/pdp-i2388670438.html,https://img.lazcdn.com/g/p/7e85dbe9dcd18eabf7771ab244ce5e2d.jpg_200x200q80.jpg,vi derm retinoic serum tinh chat chong lao hoa mo nam va ngan chan su hinh thanh mun
lazada,vi,Kem Chống Nắng SPF 50 VI Derm SPF 50 Daily UV Defense Broad Spectrum Sunscreen 59ml,1.072.800 ₫,https://www.lazada.vn/products/pdp-i3039049258.html,https://img.lazcdn.com/g/p/c59ba7fe27de24b9ec728beab4cc14d3.jpg_200x200q80.jpg,kem chong nang spf 50 vi derm spf 50 daily uv defense broad spectrum sunscreen 59ml
lazada,vi,"Vi derm Daily UV Defense Broad Spectrum Sunscreen - Kem Chống nắng bảo vệ da toàn diện, không nhờn rít",1.490.000 ₫,https://www.lazada.vn/products/pdp-i2388648674.html,https://img.lazcdn.com/g/p/f7480acc9905bc939466360488b109c7.jpg_200x200q80.jpg,vi derm daily uv defense broad spectrum sunscreen kem chong nang bao ve da toan dien khong nhon rit
lazada,vi,"Vi kim tảo biển, KHÔNG BONG DA, KHÔNG SƯNG ĐỎ, xoá sạch mụn, làm mờ nám",987.000 ₫,https://www.lazada.vn/products/pdp-i2626478944.html,https://img.lazcdn.com/g/ff/kf/S0a8ed33edbdd4157807849bb303f7c56u.png_200x200q80.png,vi kim tao bien khong bong da khong sung o xoa sach mun lam mo nam
lazada,vi,"[HÀNG CÔNG TY] Serum Vi Derm Beauty Retinoic Serum Ngừa Mụn, Chống Lão Hóa, Làm Căng Da  30ml",2.068.000 ₫,https://www.lazada.vn/products/pdp-i2422689379.html,https://img.lazcdn.com/g/p/237891f98f631656f3bcddde9bda3318.jpg_200x200q80.jpg,hang cong ty serum vi derm beauty retinoic serum ngua mun chong lao hoa lam cang da 30ml
lazada,vi,Kem Chống Nắng Phổ Rộng SPF 50 VI Derm SPF 50 Daily UV Defense Broad Spectrum Sunscreen 59ml,1.192.000 ₫,https://www.lazada.vn/products/pdp-i3024038657.html,https://img.lazcdn.com/g/p/ba0ac08dbc7068875d94feaebae391e5.png_200x200q80.png,kem chong nang pho rong spf 50 vi derm spf 50 daily uv defense broad spectrum sunscreen 59ml
lazada,vi,[Hàng Nhập] VI Derm Daily UV Defense Broad Spectrum Sunscreen SPF 50 –  Kem Chống Nắng Phổ Rộng 59ml,1.300.000 ₫,https://www.lazada.vn/products/pdp-i2004468180.html,https://img.lazcdn.com/g/ff/kf/Se3abe91f2bf24a2283721aeb259d3c1ds.jpg_200x200q80.jpg,hang nhap vi derm daily uv defense broad spectrum sunscreen spf 50 kem chong nang pho rong 59ml
lazada,vi,"Giày bé gái thời trang cao cấp VI VI, đế êm, nhẹ",179.000 ₫,https://www.lazada.vn/products/pdp-i2737093309.html,https://img.lazcdn.com/g/p/ec5ed36a83c7cd2df0cf5ce89e4a004d.jpg_200x200q80.jpg,giay be gai thoi trang cao cap vi vi e em nhe
